
Actual data:
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8885
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8904
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8925
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8945
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8965
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	8985
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9006
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9025
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9046
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9066
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9085
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9106
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9126
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9146
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9166
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9187
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9206
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9227
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9247
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9267
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9287
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9308
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9327
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9348
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9368
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9388
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9408
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9428
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9448
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9468
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9489
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9508
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9529
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9549
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9569
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9589
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9610
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9629
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9650
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9670
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9690
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9710
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9731
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9750
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9771
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9791
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9810
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9831
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9851
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9871
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9891
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9912
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	9931
