serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93035
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93056
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93076
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93095
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93116
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93136
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93156
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93176
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93197
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93216
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93237
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93257
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93277
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93297
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93318
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93337
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93358
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93378
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93398
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93418
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93438
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93458
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93478
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93499
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93518
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93539
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93559
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93579
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93599
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93620
serial1: FF 	45 	0 	BA 	serial2: 45 	0 	0 	0 	93639
